 ,dc:title,dcterms:alternative,dc:relation,dc:type,compoundrelationship,group_id,collection_id,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1775147308,"Science Pics, 1960,  Photograph 2",,,image,,,,,Science Pics-Photograph_2.tif,,"RG-R, Series 6, Box 1, 1960",,,,Students | Science,,"Two students working in a lab, July 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775147308,"Science Pics, 1960,  Photograph 3",,,image,,,,,Science Pics-Photograph_3.tif,,"RG-R, Series 6, Box 1, 1960 ",,,,Students | Science,,"A student observing potted plants, July 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775573076,"Registration, 1960",,"Registration, 1960",image,,,,,Registration-1960.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Registration,,"A student sitting at Mr. Wellborn's desk during class registration, September 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775574188,"Student Variety Show, 1960, Photograph 2",,"Student Life, 1960",image,,,,,Student Variety Show-1960-Photograph _2.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Student Life,,"Eight students singing on stage at the variety show. Terry Moore is standing near the center of the group. P. Sandberg is standing near the center, to the left of Terry Moore. Ken Hall is standing on the right side of the group near the microphone. Eric Stubben and Gale Hatten are standing on the right side of the group. September 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775574193,"Student Variety Show, 1960, Photograph 3",,"Student Life, 1960",image,,,,,Student Variety Show-1960-Photograph_3.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Student Life,,"A group of eleven students with straw hats on stage at the variety show. Ann Wright is the student at the far left of the groud. Mcllwary is standing second from the left. Sue Z. is standing near the center of the group. Cathleen Cathley is standing to the right of the center. Van Dalen is standing on the right side of the group, September 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775574193,"Student Variety Show, 1960, Photograph 4",,"Student Life, 1960",image,,,,,Student Variety Show-1960-Photograph_4.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Student Life,,"Eleven students dancing on stage with straw hats at the variety show. Ann Wright is the student at the far left of the group. Hedda Haglund (Smithson) is the second student from the left, September 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775575777,"Haner, 1961",,,image,,,,,Haner-1961.tif,,"RG-R, Series 6, Box 1, 1961",,,,,,"Three individuals stand around a typewriter. Stanley King is standing on the right side of the picture. Carol Thateker is standing behind the seated individual, March 1961.",,,,,March 1961,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775576397,"Music, 1961",,,image,,,,,Music-1961.tif,,"RG-R, Series 6, Box 1, 1961",,,,Students ,,"A student at the piano with two men observing/teaching. Gretchen Osterhof Thomson is seated at the piano in the center of the picture. Robert Hase is standing on the right side of the picture, 1961.",,,,,1961,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775577006,"Homecoming Floats, 1960, Photograph 1",,"Homecoming, 1960",image,,,,,Homecoming Floats-1960-Photograph_1.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Student Life,,"Student Homecoming float ""Cage the Kohawks"", October 9, 1960.",,,,,,1960-10-9,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775577008,"Homecoming Floats, 1960, Photograph 2",,"Homecoming, 1961",image,,,,,Homecoming Floats-1960-Photograph _2.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Student Life,,"Student Homecoming float ""Kiddy-Hawk Competition"", October 9, 1960.",,,,,,1960-10-9,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775749671,Travel-Service Scholars for 1961,,,image,,,,,Travel-Service Scholars for 1961.tif,,"RG-R, Series 6, Box 1, 1961",,,,Students ,,"Seven students pointing at a map. Jim Lowry is standing at the far left of the group. Nancy Welch is standing third from the left. Chris Marey is standing second from the right, Guy Scanlan is standing at the far right of the group, 1961.",,,,,1961,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775750097,"Women's Officers, 1961, Photograph 1",,,image,,,,,Women's Officers-1961-Photograph_1.tif,,"RG-R, Series 6, Box 1, 1961",,,,Students ,,"Eight students posing for a photograph. In the back row. from left to right, are Jane Eagan, Gretchen Osterhaus, Sandy Frieze, and one unidentified student. In the front row, from left to right, are Dorothy Sharrockett, Jill Glysteen, Jeanne Gissness, and Anne Hamilton. April 1961.",,,,,1961,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775750099,"Women's Officers, 1961, Photograph 2",,,image,,,,,Women's Officers-1961-Photograph_2.tif,,"RG-R, Series 6, Box 1, 1961",,,,Students ,,"Nine students posing for a photograph. Joan Christianson is standing at the far left of the back row. Nancy Welch is standing second from the left in the back row. Mary Ann Curie is standing in the center of the back row, April 1961.",,,,,1961,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775750701,"Wrestling Squad, 1961-1962",,,image,,,,,Wrestling Squad_1961-1962.tif,,"RG-R, Series 6, Box 1, 1961-1962",,,,Students | Athletics | Wrestling ,,"Nine student wrestlers and their coach, Terry Moore. Wayne Sand is the second student from the right in the back row. Dick Harris is the first student from the right in the front row. 1961-1962.",,,,,1961-1962,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775751157,"Election Night Patry, 1962",,,image,,,,,Election Night Party_1962.tif,,"RG-R, Series 6, Box 1, 1962",,,,Students | Student Life | Politics,,"Students at the Election Night Party in the Caucus Room, Program in Practical Political Education (PPPE), November 1962.",,,,,November 1962,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775751715,"Cheerleaders, 1962",,,image,,,,,Cheerleaders_1962.tif,,"RG-R, Series 6, Box 1, 1962",,,,Students | Cheerleading,,"Six students pose outdoors wearing matching sweaters. Pam Drews is standing at the upper left of the group. Abby is standing at the upper right of the group. Jo Riley is standing at the center left of the group. Sharon Miller is standing at the center right of the group. Becky Retz Neal is seated at the front center of the group, 1962.",,,,,1962,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776183183,"Football Squad, 1960, Photograph 1",,,image,,,,,Football Squad-1960-Photograph_1.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Athletics | Football,,"Fourteen football players posing for a photograph with their coach, 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776183185,"Football Squad, 1960, Photograph 2",,,image,,,,,Football Squad-1960-Photograph_2.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Athletics | Football,,"Thirty-one football players posing for a photograph with their coach, 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776183752,"Paddle Tennis, 1960",,,image,,,,,Paddle Tennis_1960.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Athletics ,,"Four students outside playing paddle tennis, September 1960.",,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776183891,"Cross Country, 1960, Photograph 1",,,image,,,,,Cross Country-1961-Photograph_1.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Athletics | Cross Country,,Coach Terry Moore presents cross-country awards to student athletes. Paul Roper is the second inidividual from the left. harry Huttel is the third individual from the left. Dick Fisher is the fifth individual from the left. Grant Fairbanks is the individual at the far right of the photograph.1961.,,,,,1960,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776183900,"Cross Country, 1961, Photograph 1",,,image,,,,,Cross Country-1961-Photograph_2.tif,,"RG-R, Series 6, Box 1, 1960-1961",,,,Students | Athletics | Cross Country,,"Members of the 1961 conference champion cross-country team pose for a group phototgraph. In the front row, from left to right, are Hap Lutter, Ron Dorn, Jack Winiecki, Dick Fisher, and Bill Gorbunoff. In the back row, from left to right, are Coach Young, Grant Fairbanks, Gof Thompson (1962), Keith Kester, Phil Norton, and Paul Risser, 1961.",,,,,1961,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772832610,"Unidentified Student Reading in Dorm Room, April 2, 1969",,,image,,,,,Photo_001.tif,,"RG-R, Series 6, Box 25, Folder 9",George T. Henry ,,,Student Life,,"Student James John Ellsmore sits reading a book titled Eldridge Cleaver at a dorm room desk, 1969.",,,,,1969,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772833536,"Two students walk away from the ARH, May 1964",,,image,,,,,Photo_002.tif,,"RG-R, Series 6, Box 25, Folder 9",,,,Student Life,,"Two students hold each other as they walk away from the Alumni Recitation Hall, 1964.",,,,,May 1964,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772834273,"Students checking out at bookstore, December 6, 1964",,,image,,,,,Photo_003.tif,,"RG-R, Series 6, Box 25, Folder 9",McMullin,,,Student Life,,"Three students check out at the bookstore, another student in the background, 1964.",,,,,1964,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772834871,"Environmental Teach-In, Students returning ""Bud"" cans to Grinnell Beverage Co., 1970",,,image,,,,,Photo_004.tif,,"RG-R, Series 6, Box 25, Folder 13",,,,Student Life,,A group of students is gathered around a van parked on city street during what appears to be an anti-war protest in 1967 or 1968. .,,,,,,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772835365,"Students play cards in a lounge, April 2, 1969",,,image,,,,,Photo_005.tif,,"RG-R, Series 6, Box 26, Folder 1",George T. Henry,,,Student Life, ,"Four students sit at a table playing cards in the Forum, 1969.",,,,,1969,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772836501,"Three students sit/stand outside the Forum, 1971",,,image,,,,,Photo_006.tif,,"RG-R, Series 6, Box 26, Folder 1",,,,Student Life,,"Three students, two sitting and one standing, look out onto South Campus from the front of the Forum, 1971.",,,,,1971,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
