 ,dc:title,dcterms:alternative,dc:relation,dc:type,compoundrelationship,group_id,collection_id,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1770224435,"Commencement, 1976, Photograph 2",,"Commencement, 1976",image,,,,,Commencement-1976-Photograph2_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Crowd of undentified students and faculty at Commencemen, 1976. ",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770224802,"Commencement, 1976, Photograph 25",,"Commencement, 1976",image,,,,,Commencement-1976-Photograph25_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Student looking into the distance with a second person on the right at Commencement. May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770226052,"Commencement, 1976, Photograph 26",,"Commencement, 1976",image,,,,,Commencement-1976-Photograp26_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Students gathered in Humanities A-G and Social Studies A-G lines during the 1976 Commencement.  May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770226115,"Commencement, 1976, Photograph 32",,"Commencement, 1976",image,,,,,Commencement-1976-Photograph32_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"The photograph shows Sarah Megan (Class of 1976) in the Grinnell College Commencement ceremony, standing among graduates near the Science A-G procession sign.  May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770226312,"Commencement, 1976, Photograph 33",,"Commencement, 1976",image,,,,,Commencement-976-Photograph33_001.tif,,"RG-R, Series 6, Box 8, Folder 6",Roger W McMullin Photo,,,Commencement,,"Two unidentified students wearing graduation robes during the 1976 Commencement.  May 18, 1976.",,,,,,1976-05-18,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395330,"Commencement, 1977, Photograph 2",,Commencement 1977,image,,,,,Commencement-1977-Photograph_2.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,Students sit on the roof of the bookstore while others stand below. Herrick Chapel is in the background. ,,,,,,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395730,"Commencement, 1977, Photograph 21",,Commencement 1977,image,,,,,Commencement-1977-Photograph_21.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,Woman sits on the backrest of a wooden folding chair with seated crowd in background. Commencement 1977. ,,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395813,"Commmencement, 1977, Photograph 24",,Commencement 1977,image,,,,,Commmencement-1977-Photograph_24.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,Crowd of seated onlookers at Commencement 1977.,,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395838,"Commmencement, 1977, Photograph 27",,Commencement 1977,image,,,,,Commmencement-1977-Photograph_27.tif,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,"The photograph shows Claudia Beckwith (Class of 1977) during the 1977 Commencement, wearing a decorative graduation cap with a flower. ",,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770395897,"Commmencement, 1977, Photograph 28",,Commencement 1977,image,,,,,Commmencement-1977-Photograph_28,,"RG-R, Series 6, Box 8, Folder 7",Roger W McMullin Photo,,,Commencement,,A student adjusts her decorated graduation cap at the 1977 Commencement. ,,,,,,1977-05-24,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397328,"New Student Days, 1972, Photograph 2",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_2.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,A student and parents moving into the dormitories on New Student Day.,,,,,,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397371,"New Student Days, 1972, Photograph 5",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_5.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,The photograph shows Vance Liebman (Class of 1974) in the college bookstore as students line up among stacks of textbooks during the begining of the academic term.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397393,"New Student Days, 1972, Photograph 6",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_6.tiff,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,Two pairs of students are engaged in conversation outside the Forum.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397449,"New Student Days, 1972, Photograph 11",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_11.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,"Two men load crates into a truck bed while students converse behind them. The indivisual is Bo Batty. Bo Batty at Texaco service station in Grinnell, standing beside a pickup truck while workers load or unload things outside the station.",,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397476,"New Student Days, 1972, Photograph 12",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_12.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,Two students sit on the floor looking at papers while others stand nearby.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397489,"New Student Days, 1972, Photograph 13",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_13.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,The photograph shows Maria Perotto (Class of 1974) speaking with staff and students at a registration desk during course registration.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397513,"New Student Days, 1972, Photograph 14",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_14.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,Student getting on a bike outside the Forum. ,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397529,"New Student Days, 1972, Photograph 15",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_15.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,Six students sits at a table engaged in writing work.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397775,"New Student Days, 1972, Photograph 21",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_21.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,Jon Herman (Class of 1978) is standing near the center-right of the photograph during course registration.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397781,"New Student Days, 1972, Photograph 23",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_23.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,Students sit in a classroom with combined desk chairs. The student on the right is Warren Rubstello.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397833,"New Student Days, 1972, Photograph 25-001",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph 25_001.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,"Beth Loup Liebman is standing on the right side of the photograph, browsing items on a bookstore shelf.",,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1780499184,"New Student Days, 1972, Photograph 25-002",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph 25_002.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,"Student on the right is Melanie Steinkraus. The woman on the left is unidentified. The photograph documents a vaccination being administered on campus, 1972.",,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1770397848,"New Student Days, 1972, Photograph 29",,"New Student Day, 1972",image,,,,,New Student Days-1972-Photograph_29.tif,,"RG-R, Series 6, Box 18, Folder 6",Roger W McMullin Photo,,,New Student Days,,The photograph shows Julie Hollings browsing books in the campus bookstore.,,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771434156,"Commencement, 1986, Photograph 35",,"Commencement, 1986",image,,,,,Commencement-1986-Photograph_35.tif,,"RG-R, Series 6, Box 9, Folder 2",Jack Robertson,,,Commencement,,"Two graduates pose together outdoors during commencement ceremonies. Laura Ohline is standing on the left. Jean Dettweiler, Class of 1985, is standing on the right.",,,,,1986,1986-05-19,,,,photograph,3 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771434307,"Commencement, 1986, Photograph 36",,"Commencement, 1986",image,,,,,Commencement-1986-Photograph_36.tif,,"RG-R, Series 6, Box 9, Folder 2",Jack Robertson,,,Commencement,,Lotonia Marshall and her baby Robert Jr. at the 1986 Commencement ceremony.,,,,,1986,1986-05-19,,,,photograph,4 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771434368,"Commencement, 1986, Photograph 37",,"Commencement, 1986",image,,,,,Commencement-1986-Photograph_37.tif,,"RG-R, Series 6, Box 9, Folder 2",Jack Robertson,,,Commencement,,Two people pose for the camera at the 1986 Commencement. ,,,,,1986,1986-05-19,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771519035,"South Lounge Scenes, 1982, Photograph 1",,"Student Life, 1982",image,,,,,South Lounge Scenes-1982-Photograph_1.tif,,"RG-R, Series 6, Box 9",,,,Student Life,,"A student, possibly identified as McKeown, sits cross-legged on the floor reading printed material in a lounge or common area. The student is positioned as the center of the photograph, with a piano and seating visible in the background, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771519037,"South Lounge Scenes, 1982, Photograph 2",,"Student Life, 1982",image,,,,,South Lounge Scenes-1982-Photograph_2.tif,,"RG-R, Series 6, Box 9",,,,Student Life,,"Two students sit together on cushioned seating in a campus lounge or common area. One student appears to be reading while speaking with another. One of the student is possibly Serena, though the identification remains uncertain, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771520084,"Misc Outdoor Campus Shot, 1982, Photograph 4",,"Student Life, 1982",image,,,,,Misc Outdoor Campus Shot-1982-Photograph_4.tif,,"RG-R, Series 6, Box 9",,,,Student Life,,"A student identified as Kayla Haines sits reading beneath a large tree on the Grinnell College campus, with a residence hall visible in the background. Kayla Haines is seated in the lower center-right portion of the photograph at the base of the tree, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771520158,"New Student Days Pics, 1982, Photograph 1",,"Student Life, 1982",image,,,,,New Student Days Pics-1982-Photograph_1.tif,,"RG-R, Series 6, Box 9",,,,New Student Days,,"Two students identified as Rhoda Mailna and Lisa Clearlite are shown in a workshop or classroom setting speaking with an older woman who is opearting equipment in the foreground. Rhonda Malina stands on the left side of the photograph, while Lisa Clearlite stands near the center of the image facing the camera. The unidentified woman is positioned in the foreground with her back to the camera, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771522875,"New Student Days Pics, 1982, Photograph 2",,New Student Day 1982,image,,,,,New Student Days Pics-1982-Photograph_2.tif,,"RG-R, Series 6, Box 9",,,,New Student Days,,"Student browsing in bookstore, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771522875,"New Student Days Pics, 1982, Photograph 3",,New Student Day 1982,image,,,,,New Student Days Pics-1982-Photograph_3.tif,,"RG-R, Series 6, Box 9",,,,New Student Days,,"Students browse and converse among bookshelves in the campus bookstore Susan Rest Asplund is positioned near the center of the photograph, standing in front of a display of books. Two additional unidentified individuals are visble at the left and right sides of the image, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771522875,"New Student Days Pics, 1982, Photograph 4",,New Student Day 1982,image,,,,,New Student Days Pics-1982-Photograph_4.tif,,"RG-R, Series 6, Box 9",,,,New Student Days,,"Two students chatting at table, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771522875,"New Student Days Pics, 1982, Photograph 5",,New Student Day 1982,image,,,,,New Student Days Pics-1982-Photograph_5.tif,,"RG-R, Series 6, Box 9",,,,New Student Days,,"Gali Burdick is seated at her desk in an office. Positioned at the center of the photograph, she is shown smiling toward the camera, with office materials and a bulletin board visble in the background, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771522875,"New Student Days Pics, 1982, Photograph 6",,New Student Day 1982,image,,,,,New Student Days Pics-1982-Photograph_6.tif,,"RG-R, Series 6, Box 9",,,,New Student Days,,"Student at registration on New Student Day, 1982.",,,,,1982,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771604207,"Commencement, 1985, Photograph 4",,"Commencement, 1985",image,,,,,Commencement-1985-Photograph_4.tif,,"RG-R, Series 6, Folder 3",Jack Robertson,,,Commencement,,"Two women embrace, 1986.",,,,,1985,1985-05-20,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772645028,"Commencement, Undated, Photograph 7",,"Commencement, 1985",image,,,,,Commencement-Undated-Photograph_7.tif,,"RG-R, Series 6, Folder 3",,,,Commencement,,Graduates and guests gather outdoors following Commencement ceremony. Idenfied individuals include Nancy Lambert and Rhonda Stuart. Lianne Kimura and Perry Stern are tentatively identified.,,,,,,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771604370,"Commencement, 1985, Photograph 8",,"Commencement, 1985",image,,,,,Commencement-1985-Photograph_8.tif,,"RG-R, Series 6, Folder 3",Jack Robertson,,,Commencement,,"Close up of one student blowing bubbles with second in background, 1986.",,,,,1985,1985-05-20,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771604433,"Commencement, 1986, Photograph 9",,"Commencement, 1986",image,,,,,Commencement-1986-Photograph_9.tif,,"RG-R, Series 6, Folder 3",Jack Robertson,,,Commencement,,"Students attend the 1986 Commencement ceremony. Jim Arbogast is standing on the left side of the photograph. Ethan Cohen, James Rayo, and Klydah are standing near the center of group. Mary Batson is standing near the center-right of the photograph. Cristy Costello is standing to the right of Mary Batso.Mike Bianchi is standing on the right side of the photograph. ",,,,,1986,1986-05-19,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771867552,"Commencement, 1985, Photograph 18",,"Commencement, 1985",image,,,,,Commencement-1985-Photograph_18.tif,,"RG-R, Series 6, Folder 3",Jack Robertson,,,Commencement,,"Three students review a document outdoors. From left to right, the students are Anya Grundman, Jackson Wilson, and Jessica Thebus, 1985.",,,,,1985,1985-05-20,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771867868,"Commencement, 1987, Photograph 19",,"Commencement, 1987",image,,,,,Commencement-1987-Photograph_19.tif,,"RG-R, Series 6, Folder 3",Jack Robertson,,,Commencement,,"These graduates pose together outdoors during Commencement ceromonies. Phil LeClerc is standing on the left, an unidentified female graduate is standing in the center holding a bouquet of flowers, and Dave Wilson is standing on the right, 1987.",,,,,1987,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771868618,"Commencement, 1985, Photograph 21",,"Commencement, 1985",image,,,,,Commencement-1985-Photograph_21.tif,,"RG-R, Series 6, Folder 3",Jack Robertson,,,Commencement,,"Kate Worcester in a crowd of other students in Graduation robes, wearing a fedora and staring into the distance, 1985.",,,,,1985,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771949118,"Tony Margherita Photos, 1984, Photograph 1",,,image,,,,,Tony Margherita Photos-1984-Photograph_1.tif,,"RG-R, Series 6, Box 9",Tony Margherita,,,Student Life,,"Student participating in an international gathering pose on steps beneath a Republic of China flag. Danny McGrath is seated on the far left side of the photograph. In the front row, Sanjeev Pandey is standing left of the center, Simon Huang is standing near the center, Omar is standing right of center, and Bomi Mistry is standing on the far right. Doug White is visible in the background on the right side of the photograph, 1984.",,,,,1984,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771949118,"Tony Margherita Photos, 1984, Photograph 2",,,image,,,,,Tony Margherita Photos-1984-Photograph _2.tif,,"RG-R, Series 6, Box 9",Tony Margherita,,,Student Life,,"Five students pose together in a residence hall room. Bomi Mistry is standing on the far left of the group. Kayla Haines is also pictured, though her exact position within the group has not been identified, 1984.",,,,,1984,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771949952,"Dance Troupe Rehersal, 1984",,,image,,,,,Dance Troupe Rehersal-1984.tif,,"RG-R, Series 6, Box 9",,,,Student Life,,"Members of the Grinnell College Dance Troupe rehearse for a concert held March 9-10, 1984. Mariam Puldas appears at the front left of the formation. Althea Ricketts is positioned in the upper right area of the group. Emelina Tedesco appears near the center-right. Lisa Cohen is crouched in the foreground at right.",,,,,1984,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771950481,"Grinnell Singers, 1984",,"Grinnell Singers, 1984",image,,,,,Grinnell Singers-1984.tif,,"RG-R, Series 6, Box 9",,,,Grinnell Singers,,"Members of the Grinnell Singers pose for a group portrait in Herrick Chapel, 1984. Identified individuals include Susan Meazkoff, Tim Black, Thom Barthlemess, Ruth Schmidt, and Claire Vernette in the back row (left to right); Ross Carson in the second row from the back; Michelle Maly in the second row on the left; Andy Paul McLary on the far left side of the group; Carol Flesher (Class of 1985) on the right side; Dave Piston in the upper right; Annette Aluzas in the front row; and Tushar Khinder in the lower right. Janet Seger (1985), seated near the center, is tentatively identified.",,,,,1984,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771445476,"Students at book store mailroom, 1956",,,image,,,,,1956_001.tif,,"RG-R, Series 6, Box 25, Folder 2",,,,Student life,,"A group of students pick up mail from home at the book store mailroom, 1956.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771446384,"House Party, 1955, Photograph 2",,,image,,,,,1956_002.tif,,"RG-R, Series 6, Box 25, Folder 3",,,,Student life,,"A group of unidentified students dance in pairs at a house party, 1955. ",,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771447028,"Three students sit on a couch in a backyard, 1956",,,image,,,,,1956_003.tif,,"RG-R, Series 6, Box 25, Folder 3",,,,Student life,,"Three unidentified students, 2 men and 1 woman, sit on a couch on a lawn in front of a tree, 1956.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771447486,"Unidentified Student Group in Lounge Area, 1956",,,image,,,,,1956_005.tif,,"RG-R, Series 6, Box 25, Folder 3",,,,Student life,,"Six unidentified students sit in front of a fireplace in a lounge, 1956.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771447858,"Orchesis Performance, 1956",,,image,,,,,1956_006.tif,,"RG-R, Series 6, Box 25, Folder 3",,,,Orchesis ,,"A line of dancers in the dance group Orchesis do the can-can in a gymnasium, 1956.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772484479,"Student Union, 1956, Photograph 3",,,image,,,,,1956_007.tif,,"RG-R, Series 6, Box 25, Folder 3",,,,Student life,,"A view of the Student Union, groups of students sit at tables and booths, talking and eating, 1956.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772484605,"Boar's Head Dinner, 1955, Photograph 2",,,image,,,,,1956_008.tif,,"RG-R, Series 6, Box 25, Folder 4",,,,Student life,,A scene from the Boar's Head dinner - a student dressed as a gladiator duels with a student dressed as a monster(?) A student dressed as an old man cowers next to a table in the middle between them.,,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772485061,"House Party, 1955, Photograph 3",,,image,,,,,1956_009.tif,,"RG-R, Series 6, Box 25, Folder 4",,,,Student life,,"Two students on the far left stand next to a big cut-out of a man, one student poses crouched underneath the cutot as another student holds her hand.",,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772486071,"Student Council Convention, 1956, Photograph 3",,,image,,,,,1956_010.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"A group of students in striped shirts and with a can on a string tied around their necks talk with their hands out in front of them, as some other students watch. Around then, students converse and hold signs.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772486378,"Two students at Arbor Lake, 1955",,,image,,,,,1956_011.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"Two students, pose at Arbor Lake in front of a wooden building. One student leans against a tree while the other props themselves up on the tree, their arm outstretched next to the tree-leaning student.",,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772486764,"Five students in a drama production, 1955",,,image,,,,,1956_012.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"Five students perform in a theater production, one on all fours in armor looks up at a student wearing a big robe. Three other students wearing togas hold paddles and look down and the student on all fours.",,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772486984,"Two students at an all-campus picnic, 1955",,,image,,,,,1956_013.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"Two students sit on the grass at an All Student Picnic, eating off of paper plates. Behind them are other students in groups.",,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772487447,"House party, 1955, Photograph 4",,,image,,,,,1956_014.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"Students in nice outfits (dresses, suits) and nametags stand around a table and get refreshments, little snacks and punch, from two women sitting and ladling it out.",,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772487641,"""Lark of the Moon"" drama production, 1955",,,image,,,,,1956_015.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"Six students rehearse for a theatre production. Two sit on the ground, in a protective stance, flanking a central figure who appears menacing. Three stand behind in contrapposto, with the right arms up behind them. A seventh figure stands to the side, watching with a towel wrapped around their neck.",,,,,1955,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772487892,"Two students play checkers at a round table, 1956",,,image,,,,,1956_016.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"Two students sit at a round table across from each other, playing checkers. They rest their chins in their hands, looking down at the board seriously",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772488285,"Seniors prepare to leave for annual class picnic in college station wagons, 1956",,,image,,,,,1956_017.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"A group of students stands inside and between two parked station wagons - two sit in the trunk of the left one, five students stand and talk between, and one sits in the back row of the right one while the last one stands next to them, back turned to camera.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772488545,"Pie eating contest, Spring Day 1956",,,image,,,,,1956_018.tif,,"RG-R, Series 6, Box 25, Folder 6",,,,Student life,,"Six individuals stand in the middle of the street on some sort of stadium, with a microphone in front of them. Two of them are eating pie as another person holds the pie. A man in a hat watches. People on the roof of the building behind the scene also watch.",,,,,1956,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771951768,"Student Life Photographs, 1994, Photograph 1",,"Student Life, 1994",image,,,,,Student Life Photographs-1994_001.tif,,"RG-R, Series 6, Box 55, Folder 1",,,,Student life,,"Student on the right is Omar Ghaffar (Class of 1998), undated but likely 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771953880,"Student Life Photographs, 1994, Photograph 2",,"Student Life, 1994",image,,,,,Student Life Photographs-1994_002.tif,,"RG-R, Series 6, Box 55, Folder 1",MR?,,,Student life,,"Three students posing for a photo outside south dorms, 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771953880,"Student Life Photographs, 1994, Photograph 3",,"Student Life, 1994",image,,,,,Student Life Photographs-1994_003.tif,,"RG-R, Series 6, Box 55, Folder 1",,,,Student life,,"Two students in a chemistry lab, undated but likely 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771953880,"Student Life Photographs, 1994, Photograph 4",,"Student Life, 1994",image,,,,,Student Life Photographs-1994_004.tif,,"RG-R, Series 6, Box 55, Folder 1",MR?,,,Student life,,"Three students smiling outside, 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771953880,"Student Life Photographs, 1994, Photograph 5",,"Student Life, 1994",image,,,,,Student Life Photographs-1994_005.tif,,"RG-R, Series 6, Box 55, Folder 1",MR?,,,Student life,,"Two students outside Cowles, 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771953880,"Student Life Photographs, 1994, Photograph 6",,"Student Life, 1994",image,,,,,Student Life Photographs-1994_006.tif,,"RG-R, Series 6, Box 55, Folder 1",MR?,,,Student life,,"Three students posing for a photo outside, 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1771953880,"Student Life Photographs, 1997",,"Student Life, 1997",image,,,,,Student Life Photographs-1997.tif,,"RG-R, Series 6, Box 55, Folder 1",Bill Harstad,,,Student life,,"Super Bowl party in Norris, January 1997. Student seated on the couch in the center is J.P. Christensen (Class of 1998). Student seated on the couch second from the right is Max Maclay (Class of 1997). Student seated on the couch on the far left is Brian Rebel (Class of 1998). Student seated on the floor in the foreground wearing a black cap is unidentified. Student seated on the floor facing left may be Laura (Class of 1997). Other students in the photograph are unidentified.",,,,,1997,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
